user,URL,has_finish,repos,stars
cdcsai,https://github.com/cdcsai,1,14,50
Jingyilang,https://github.com/Jingyilang,1,14,473
Elaips,https://github.com/Elaips,1,0,31
ehsk,https://github.com/ehsk,1,13,358
akalino,https://github.com/akalino,1,22,122
ldmtwo,https://github.com/ldmtwo,1,7,285
ChaoYue0307,https://github.com/ChaoYue0307,1,176,818
dy-zz,https://github.com/dy-zz,1,1,73
malanb5,https://github.com/malanb5,1,73,378
anil-ds,https://github.com/anil-ds,1,15,304
singingtower,https://github.com/singingtower,1,19,87
pefimov,https://github.com/pefimov,1,5,133
JoshuaZero,https://github.com/JoshuaZero,1,215,566
rsouza,https://github.com/rsouza,1,59,229
nikhilranjan7,https://github.com/nikhilranjan7,1,40,92
GeorgeGxz,https://github.com/GeorgeGxz,1,18,170
huntzhan,https://github.com/huntzhan,1,116,1100
JuneTse,https://github.com/JuneTse,1,25,481
dipanjannC,https://github.com/dipanjannC,1,34,69
cramdoulfa,https://github.com/cramdoulfa,1,12,104
chprjha,https://github.com/chprjha,1,0,162
SumilerGAO,https://github.com/SumilerGAO,1,9,60
kkaiser,https://github.com/kkaiser,1,5,53
hero007feng,https://github.com/hero007feng,1,15,92
blazingsiyan,https://github.com/blazingsiyan,1,82,1600
jiminsun,https://github.com/jiminsun,1,16,101
stanpao,https://github.com/stanpao,1,4,273
TodayUp,https://github.com/TodayUp,1,3,112
